Symptom,Medicine_Name,Medicine_Type,Common_Side_Effects,Prescription_Required
Allergy,Cetrizine,Cream,None,Yes
Headache,Synflex,Lozenge,Dizziness,Yes
Cough,Corex,Capsule,Drowsiness,No
Joint Pain,Celebrex,Cream,None,Yes
Back Pain,Ibuprofen,Capsule,Minor irritation,No
Diabetes,Glibenclamide,Lozenge,Dizziness,No
Allergy,Loratadine,Lozenge,Drowsiness,Yes
High Blood Pressure,Lisinopril,Cream,Drowsiness,No
Diarrhea,Econorm,Syrup,Nausea,Yes
Allergy,Cetrizine,Tablet,Dizziness,Yes
Infection,Augmentin,Tablet,Metallic taste,Yes
Cold,NeoCitran,Tablet,Metallic taste,Yes
Infection,Augmentin,Injection,Drowsiness,Yes
Cold,Dispirin,Lozenge,Stomach upset,Yes
Diarrhea,Econorm,Cream,Nausea,Yes
Nausea,Gravinate,Syrup,Minor irritation,No
Cough,Benylin,Tablet,None,No
Nausea,Gravinate,Lozenge,Nausea,Yes
Pain,Ketorolac,Syrup,Dizziness,Yes
Infection,Augmentin,Tablet,Stomach upset,No
Back Pain,Orudis,Tablet,Metallic taste,No
Skin Rash,Hydrocortisone,Cream,Drowsiness,No
Headache,Saridon,Cream,Minor irritation,Yes
Flu,Flutab,Lozenge,Stomach upset,Yes
Headache,Panadol Extra,Cream,Stomach upset,No
High Blood Pressure,Losartan,Tablet,Stomach upset,No
Cold,Sudafed,Cream,Dizziness,No
Skin Rash,Hydrocortisone,Lozenge,Dizziness,No
Acidity,Risek,Injection,None,Yes
Acidity,Omeprazole,Syrup,Metallic taste,Yes
Joint Pain,Celebrex,Syrup,Metallic taste,Yes
Nausea,Gravinate,Capsule,Dizziness,No
Nausea,Gravinate,Lozenge,Nausea,Yes
Flu,Flutab,Injection,Dizziness,No
Diarrhea,Econorm,Injection,None,No
Allergy,Loratadine,Injection,Metallic taste,No
Flu,Flutab,Cream,Drowsiness,Yes
Headache,Saridon,Capsule,Nausea,No
Asthma,Seretide,Cream,Metallic taste,Yes
Flu,Actifed,Tablet,Nausea,No
Headache,Saridon,Lozenge,Stomach upset,Yes
Cold,Dispirin,Syrup,Minor irritation,Yes
Vomiting,Domperidone,Cream,Drowsiness,Yes
Headache,Panadol Extra,Capsule,Dizziness,Yes
Skin Rash,Betnovate,Lozenge,Minor irritation,No
Diarrhea,Imodium,Syrup,Drowsiness,No
Constipation,Cremaffin,Syrup,Dizziness,No
Nausea,Domperidone,Capsule,Stomach upset,Yes
Nausea,Domperidone,Capsule,Metallic taste,Yes
Back Pain,Ibuprofen,Lozenge,Dizziness,Yes
Nausea,Domperidone,Syrup,Drowsiness,Yes
Nausea,Emetrol,Syrup,Nausea,Yes
Joint Pain,Arcoxia,Lozenge,Dizziness,Yes
Diarrhea,Imodium,Syrup,Drowsiness,No
Infection,Amoxicillin,Tablet,Drowsiness,Yes
Skin Rash,Fucidin,Cream,Dizziness,Yes
Skin Rash,Hydrocortisone,Lozenge,Stomach upset,No
Allergy,Loratadine,Syrup,Minor irritation,No
High Blood Pressure,Losartan,Syrup,Metallic taste,No
Allergy,Loratadine,Tablet,Drowsiness,Yes
Back Pain,Ibuprofen,Injection,Nausea,No
Skin Rash,Betnovate,Tablet,Dizziness,Yes
Asthma,Symbicort,Cream,Nausea,No
Vomiting,Zofran,Syrup,Metallic taste,No
High Blood Pressure,Amlodipine,Cream,Metallic taste,Yes
Asthma,Seretide,Injection,Drowsiness,Yes
Joint Pain,Arcoxia,Cream,Metallic taste,No
High Blood Pressure,Lisinopril,Syrup,Dizziness,Yes
Skin Rash,Fucidin,Tablet,Nausea,No
Fever,Calpol,Cream,Dizziness,No
Nausea,Domperidone,Capsule,Metallic taste,No
Sore Throat,Strepsils,Tablet,None,No
Vomiting,Domperidone,Lozenge,Dizziness,No
High Blood Pressure,Lisinopril,Tablet,Minor irritation,Yes
Skin Rash,Fucidin,Lozenge,Metallic taste,Yes
Acidity,Omeprazole,Tablet,Dizziness,No
Back Pain,Nuberol Forte,Capsule,Drowsiness,Yes
Back Pain,Ibuprofen,Syrup,Dizziness,Yes
Nausea,Emetrol,Lozenge,Minor irritation,No
High Blood Pressure,Losartan,Injection,Minor irritation,No
Flu,Contac,Injection,Dizziness,Yes
Joint Pain,Celebrex,Syrup,Drowsiness,Yes
Nausea,Gravinate,Syrup,None,No
Skin Rash,Fucidin,Injection,Minor irritation,Yes
Constipation,Cremaffin,Lozenge,Stomach upset,Yes
Fever,Disprol,Lozenge,Drowsiness,No
Cough,Benylin,Capsule,Nausea,Yes
Diabetes,Metformin,Tablet,Dizziness,No
Asthma,Symbicort,Lozenge,Drowsiness,No
Back Pain,Ibuprofen,Lozenge,Nausea,Yes
Pain,Ketorolac,Lozenge,None,No
Allergy,Benadryl,Lozenge,None,Yes
Nausea,Domperidone,Tablet,Metallic taste,No
Skin Rash,Fucidin,Injection,Minor irritation,Yes
Pain,Brufen,Tablet,Dizziness,Yes
Nausea,Emetrol,Capsule,Dizziness,Yes
Infection,Amoxicillin,Syrup,Stomach upset,No
Diabetes,Glibenclamide,Tablet,Minor irritation,No
Vomiting,Domperidone,Capsule,None,No
Nausea,Emetrol,Cream,Drowsiness,No
Asthma,Seretide,Lozenge,Minor irritation,No
Constipation,Cremaffin,Syrup,Metallic taste,Yes
High Blood Pressure,Losartan,Capsule,Metallic taste,Yes
Pain,Ketorolac,Lozenge,Metallic taste,Yes
Asthma,Ventolin,Injection,Drowsiness,Yes
Pain,Ponstan,Tablet,Drowsiness,Yes
Pain,Ketorolac,Cream,None,Yes
Vomiting,Domperidone,Tablet,Stomach upset,No
Joint Pain,Celebrex,Injection,Minor irritation,Yes
Flu,Flutab,Syrup,Stomach upset,Yes
Back Pain,Orudis,Injection,None,Yes
Asthma,Seretide,Injection,Nausea,Yes
Fever,Calpol,Lozenge,Nausea,No
Headache,Panadol Extra,Cream,Stomach upset,No
Infection,Amoxicillin,Cream,Minor irritation,No
High Blood Pressure,Losartan,Tablet,Metallic taste,Yes
Flu,Actifed,Cream,Metallic taste,No
Nausea,Gravinate,Tablet,Stomach upset,Yes
Joint Pain,Arcoxia,Injection,Drowsiness,No
Nausea,Gravinate,Injection,Stomach upset,Yes
Asthma,Ventolin,Cream,Dizziness,Yes
Skin Rash,Hydrocortisone,Lozenge,Nausea,Yes
Cough,Benylin,Injection,Dizziness,No
Constipation,Duphalac,Cream,Nausea,No
Flu,Actifed,Syrup,Drowsiness,No
Vomiting,Domperidone,Lozenge,Minor irritation,No
High Blood Pressure,Lisinopril,Capsule,None,Yes
Asthma,Seretide,Capsule,None,No
Acidity,Gaviscon,Syrup,Dizziness,No
Cold,Dispirin,Lozenge,Minor irritation,Yes
Allergy,Benadryl,Syrup,Drowsiness,Yes
Back Pain,Nuberol Forte,Syrup,Stomach upset,Yes
Pain,Brufen,Syrup,None,No
Acidity,Omeprazole,Capsule,Stomach upset,No
Pain,Brufen,Tablet,Nausea,Yes
Acidity,Risek,Injection,None,Yes
Flu,Flutab,Cream,Stomach upset,Yes
Back Pain,Orudis,Injection,None,No
Infection,Ciprofloxacin,Capsule,Minor irritation,No
Asthma,Ventolin,Capsule,Stomach upset,Yes
Infection,Amoxicillin,Cream,Nausea,No
High Blood Pressure,Amlodipine,Tablet,Minor irritation,Yes
Diabetes,Metformin,Capsule,Stomach upset,Yes
Joint Pain,Arcoxia,Injection,None,No
Back Pain,Nuberol Forte,Syrup,Drowsiness,Yes
Back Pain,Orudis,Syrup,Dizziness,No
Diabetes,Glibenclamide,Tablet,Stomach upset,Yes
Infection,Amoxicillin,Cream,Drowsiness,Yes
Diabetes,Metformin,Tablet,Stomach upset,Yes
Vomiting,Zofran,Lozenge,Nausea,Yes
Fever,Calpol,Injection,Stomach upset,No
Back Pain,Orudis,Syrup,Stomach upset,No
High Blood Pressure,Amlodipine,Tablet,Minor irritation,Yes
Cough,Benylin,Cream,Drowsiness,No
Constipation,Duphalac,Lozenge,None,Yes
Infection,Amoxicillin,Syrup,Stomach upset,No
Acidity,Omeprazole,Capsule,Dizziness,No
Skin Rash,Betnovate,Cream,Stomach upset,Yes
Vomiting,Domperidone,Cream,Minor irritation,Yes
Diarrhea,Imodium,Lozenge,Stomach upset,Yes
Fever,Panadol,Syrup,Minor irritation,Yes
Diarrhea,Flagyl,Syrup,Metallic taste,Yes
Fever,Disprol,Lozenge,Metallic taste,Yes
Acidity,Risek,Capsule,Minor irritation,No
Nausea,Emetrol,Tablet,Metallic taste,Yes
High Blood Pressure,Losartan,Capsule,Nausea,No
Acidity,Risek,Syrup,Minor irritation,Yes
Vomiting,Stemetil,Capsule,Metallic taste,No
Skin Rash,Hydrocortisone,Cream,Dizziness,Yes
Vomiting,Domperidone,Lozenge,Drowsiness,No
Sore Throat,Lemzinc,Syrup,Nausea,No
Diarrhea,Econorm,Injection,Metallic taste,Yes
High Blood Pressure,Lisinopril,Tablet,Dizziness,No
Cough,Corex,Cream,Dizziness,No
Constipation,Lactulose,Lozenge,Minor irritation,No
Allergy,Benadryl,Cream,Nausea,Yes
Diarrhea,Imodium,Lozenge,Minor irritation,Yes
High Blood Pressure,Losartan,Tablet,Drowsiness,Yes
Flu,Actifed,Syrup,Dizziness,Yes
Acidity,Risek,Lozenge,Dizziness,No
High Blood Pressure,Lisinopril,Tablet,None,No
Joint Pain,Voltral,Syrup,Minor irritation,No
Diarrhea,Imodium,Tablet,Drowsiness,No
Vomiting,Stemetil,Injection,Minor irritation,No
Skin Rash,Fucidin,Syrup,Minor irritation,Yes
Diabetes,Glibenclamide,Cream,None,Yes
Cough,Benylin,Capsule,Metallic taste,Yes
Acidity,Gaviscon,Cream,Stomach upset,No
Acidity,Gaviscon,Cream,Nausea,Yes
Flu,Flutab,Tablet,Minor irritation,Yes
High Blood Pressure,Amlodipine,Injection,None,Yes
Cold,Sudafed,Injection,Nausea,No
Cold,Sudafed,Injection,Metallic taste,No
Diarrhea,Flagyl,Cream,Drowsiness,No
Constipation,Cremaffin,Capsule,Minor irritation,No
Skin Rash,Hydrocortisone,Capsule,Nausea,No
Asthma,Seretide,Cream,Nausea,No
Asthma,Seretide,Injection,None,Yes
High Blood Pressure,Losartan,Lozenge,Metallic taste,No
High Blood Pressure,Amlodipine,Cream,Dizziness,No
Constipation,Cremaffin,Lozenge,Stomach upset,Yes
Diarrhea,Econorm,Tablet,Nausea,Yes
Skin Rash,Hydrocortisone,Cream,Metallic taste,No
Nausea,Gravinate,Cream,Drowsiness,Yes
Allergy,Cetrizine,Syrup,Drowsiness,Yes
Cough,Benylin,Cream,Stomach upset,No
Allergy,Cetrizine,Syrup,Stomach upset,No
Fever,Disprol,Tablet,Minor irritation,Yes
Headache,Synflex,Syrup,Minor irritation,No
Acidity,Gaviscon,Syrup,Minor irritation,No
Skin Rash,Fucidin,Tablet,Minor irritation,Yes
Acidity,Omeprazole,Syrup,Nausea,No
Infection,Amoxicillin,Lozenge,Nausea,No
Asthma,Seretide,Tablet,Drowsiness,Yes
Flu,Actifed,Syrup,Stomach upset,Yes
Back Pain,Ibuprofen,Capsule,None,No
Asthma,Seretide,Injection,Dizziness,No
Diarrhea,Imodium,Cream,None,No
Infection,Augmentin,Syrup,None,No
High Blood Pressure,Losartan,Injection,Dizziness,Yes
Infection,Ciprofloxacin,Lozenge,Metallic taste,No
Joint Pain,Arcoxia,Tablet,Drowsiness,Yes
Infection,Ciprofloxacin,Tablet,Nausea,Yes
Fever,Panadol,Injection,Drowsiness,No
Asthma,Ventolin,Cream,Drowsiness,No
Diarrhea,Imodium,Lozenge,Dizziness,Yes
Constipation,Cremaffin,Tablet,Minor irritation,Yes
Allergy,Cetrizine,Lozenge,Stomach upset,No
Infection,Amoxicillin,Cream,Drowsiness,No
Asthma,Symbicort,Cream,Nausea,No
Headache,Saridon,Tablet,Metallic taste,No
Infection,Ciprofloxacin,Tablet,Stomach upset,Yes
High Blood Pressure,Losartan,Lozenge,Drowsiness,No
Pain,Brufen,Injection,Minor irritation,No
Flu,Actifed,Injection,Dizziness,No
Allergy,Loratadine,Capsule,Minor irritation,No
Infection,Ciprofloxacin,Capsule,Metallic taste,Yes
Sore Throat,Lemzinc,Injection,Minor irritation,No
Nausea,Domperidone,Injection,Drowsiness,No
Asthma,Seretide,Cream,Drowsiness,No
Infection,Amoxicillin,Tablet,Minor irritation,Yes
Cold,Dispirin,Syrup,Minor irritation,No
Back Pain,Orudis,Capsule,Nausea,Yes
Vomiting,Stemetil,Cream,Metallic taste,Yes
Joint Pain,Celebrex,Cream,Minor irritation,No
Sore Throat,Lemzinc,Cream,Dizziness,Yes
Asthma,Symbicort,Lozenge,Metallic taste,Yes
Infection,Amoxicillin,Lozenge,Drowsiness,Yes
Cough,Benylin,Tablet,Stomach upset,No
Asthma,Symbicort,Capsule,None,Yes
Vomiting,Domperidone,Injection,Metallic taste,Yes
Pain,Ponstan,Injection,Dizziness,Yes
Cough,Corex,Tablet,Dizziness,Yes
Constipation,Duphalac,Tablet,Metallic taste,Yes
Nausea,Domperidone,Lozenge,Stomach upset,No
Asthma,Seretide,Injection,Stomach upset,No
Diarrhea,Flagyl,Lozenge,Stomach upset,Yes
Flu,Contac,Lozenge,Drowsiness,Yes
Cough,Corex,Syrup,None,No
Flu,Flutab,Syrup,Drowsiness,No
Flu,Contac,Syrup,Dizziness,Yes
Diabetes,Glibenclamide,Tablet,Drowsiness,No
Sore Throat,Cepacol,Syrup,Metallic taste,No
Cough,Tixylix,Syrup,Minor irritation,No
Pain,Brufen,Injection,Stomach upset,No
Headache,Panadol Extra,Syrup,Stomach upset,No
Back Pain,Ibuprofen,Cream,Minor irritation,No
Diarrhea,Imodium,Lozenge,None,Yes
Constipation,Duphalac,Capsule,Minor irritation,Yes
Vomiting,Stemetil,Capsule,Metallic taste,No
Sore Throat,Lemzinc,Cream,Nausea,No
Flu,Contac,Lozenge,None,No
Nausea,Domperidone,Lozenge,Metallic taste,No
Diarrhea,Imodium,Capsule,None,Yes
Fever,Calpol,Syrup,None,No
Skin Rash,Fucidin,Syrup,Stomach upset,Yes
Headache,Saridon,Syrup,Stomach upset,No
Skin Rash,Betnovate,Cream,Metallic taste,Yes
Acidity,Risek,Cream,Dizziness,Yes
Infection,Amoxicillin,Cream,Nausea,No
Skin Rash,Hydrocortisone,Cream,Dizziness,No
High Blood Pressure,Losartan,Tablet,Nausea,No
Diabetes,Glibenclamide,Capsule,Drowsiness,No
Constipation,Lactulose,Tablet,Stomach upset,Yes
Headache,Panadol Extra,Lozenge,Stomach upset,No
Back Pain,Orudis,Tablet,Metallic taste,No
High Blood Pressure,Amlodipine,Tablet,Nausea,No
Fever,Calpol,Injection,Dizziness,No
Fever,Panadol,Tablet,Drowsiness,No
Skin Rash,Betnovate,Cream,Metallic taste,Yes
Sore Throat,Lemzinc,Cream,Stomach upset,No
Headache,Synflex,Capsule,Drowsiness,Yes
Skin Rash,Fucidin,Capsule,None,Yes
Joint Pain,Voltral,Tablet,Dizziness,Yes
Skin Rash,Fucidin,Capsule,Nausea,Yes
Asthma,Symbicort,Tablet,Drowsiness,No
Headache,Saridon,Cream,Stomach upset,Yes
Vomiting,Domperidone,Cream,Drowsiness,Yes
Sore Throat,Cepacol,Capsule,Nausea,No
Back Pain,Ibuprofen,Tablet,Nausea,Yes
Fever,Calpol,Cream,Minor irritation,Yes
Fever,Calpol,Injection,Minor irritation,Yes
Headache,Synflex,Capsule,Nausea,Yes
Nausea,Gravinate,Injection,Minor irritation,No
Diabetes,Glibenclamide,Injection,Drowsiness,No
Back Pain,Nuberol Forte,Injection,Stomach upset,Yes
Diarrhea,Imodium,Tablet,Nausea,No
Diarrhea,Imodium,Cream,Stomach upset,No
Back Pain,Ibuprofen,Syrup,None,Yes
Back Pain,Orudis,Cream,Dizziness,No
Headache,Synflex,Syrup,Stomach upset,Yes
Infection,Amoxicillin,Cream,Metallic taste,No
Asthma,Symbicort,Cream,None,Yes
Sore Throat,Strepsils,Injection,Drowsiness,Yes
Infection,Augmentin,Injection,Stomach upset,Yes
Diarrhea,Econorm,Cream,Minor irritation,No
Diarrhea,Imodium,Capsule,Dizziness,Yes
Asthma,Seretide,Tablet,Minor irritation,No
Skin Rash,Hydrocortisone,Tablet,Stomach upset,Yes
Headache,Saridon,Capsule,Stomach upset,Yes
High Blood Pressure,Amlodipine,Tablet,Drowsiness,No
Fever,Disprol,Cream,Stomach upset,No
Pain,Ketorolac,Lozenge,Metallic taste,No
Back Pain,Ibuprofen,Capsule,Nausea,No
Nausea,Gravinate,Syrup,None,Yes
Skin Rash,Betnovate,Cream,Drowsiness,Yes
Joint Pain,Celebrex,Lozenge,None,No
Back Pain,Nuberol Forte,Capsule,Stomach upset,No
Cough,Benylin,Tablet,Nausea,No
Skin Rash,Fucidin,Cream,Minor irritation,No
Fever,Calpol,Lozenge,Drowsiness,No
Back Pain,Nuberol Forte,Syrup,None,No
Diabetes,Glibenclamide,Capsule,None,No
Fever,Panadol,Injection,Minor irritation,No
Infection,Augmentin,Tablet,Stomach upset,No
Skin Rash,Hydrocortisone,Capsule,Drowsiness,Yes
Flu,Actifed,Lozenge,Nausea,No
Diarrhea,Flagyl,Cream,Nausea,Yes
Diarrhea,Imodium,Injection,Minor irritation,Yes
High Blood Pressure,Lisinopril,Injection,Stomach upset,Yes
Vomiting,Stemetil,Cream,Metallic taste,Yes
Pain,Brufen,Cream,Stomach upset,No
Fever,Calpol,Syrup,Stomach upset,Yes
High Blood Pressure,Amlodipine,Capsule,Nausea,No
Constipation,Lactulose,Lozenge,Drowsiness,No
High Blood Pressure,Lisinopril,Lozenge,Dizziness,Yes
Pain,Ponstan,Tablet,Metallic taste,No
Diabetes,Metformin,Tablet,Drowsiness,Yes
Headache,Saridon,Tablet,None,No
Fever,Disprol,Syrup,Metallic taste,Yes
Back Pain,Nuberol Forte,Syrup,Drowsiness,Yes
Cold,NeoCitran,Injection,Dizziness,Yes
Asthma,Ventolin,Lozenge,Metallic taste,No
Constipation,Duphalac,Capsule,Stomach upset,Yes
Allergy,Cetrizine,Cream,Drowsiness,Yes
Joint Pain,Voltral,Injection,Nausea,No
Cold,Dispirin,Syrup,Stomach upset,Yes
Allergy,Cetrizine,Injection,None,Yes
Acidity,Omeprazole,Cream,Nausea,Yes
Skin Rash,Fucidin,Tablet,Dizziness,Yes
Vomiting,Zofran,Tablet,Minor irritation,Yes
Sore Throat,Cepacol,Cream,Metallic taste,Yes
Nausea,Emetrol,Cream,Nausea,Yes
Fever,Panadol,Cream,Metallic taste,No
Sore Throat,Cepacol,Cream,Nausea,Yes
Vomiting,Domperidone,Cream,Stomach upset,No
Constipation,Lactulose,Syrup,Dizziness,Yes
Vomiting,Domperidone,Tablet,Nausea,Yes
Acidity,Risek,Cream,None,No
Skin Rash,Fucidin,Tablet,Drowsiness,Yes
Skin Rash,Betnovate,Cream,Dizziness,Yes
Acidity,Omeprazole,Capsule,Minor irritation,No
Cold,NeoCitran,Cream,Minor irritation,Yes
Asthma,Symbicort,Tablet,Drowsiness,Yes
Sore Throat,Lemzinc,Injection,Nausea,No
Cold,Sudafed,Syrup,Stomach upset,Yes
Vomiting,Stemetil,Lozenge,None,Yes
High Blood Pressure,Losartan,Tablet,None,Yes
Nausea,Gravinate,Lozenge,Metallic taste,No
Fever,Disprol,Tablet,Metallic taste,Yes
Allergy,Cetrizine,Cream,Dizziness,Yes
Allergy,Cetrizine,Injection,Dizziness,Yes
Sore Throat,Strepsils,Syrup,Dizziness,Yes
Nausea,Gravinate,Injection,Metallic taste,Yes
Cough,Tixylix,Lozenge,Nausea,Yes
Back Pain,Nuberol Forte,Capsule,Minor irritation,Yes
Headache,Synflex,Cream,Stomach upset,No
Diabetes,Insulin,Injection,Stomach upset,Yes
Skin Rash,Hydrocortisone,Tablet,Drowsiness,No
Asthma,Symbicort,Lozenge,Nausea,Yes
Asthma,Ventolin,Lozenge,Stomach upset,Yes
Skin Rash,Fucidin,Cream,None,Yes
Diabetes,Insulin,Capsule,Minor irritation,No
Cold,Sudafed,Injection,Drowsiness,No
Cold,Sudafed,Cream,Nausea,No
Constipation,Cremaffin,Tablet,Dizziness,No
Nausea,Emetrol,Cream,Nausea,No
Acidity,Risek,Cream,Minor irritation,Yes
Back Pain,Ibuprofen,Syrup,Minor irritation,No
Sore Throat,Cepacol,Syrup,None,Yes
Constipation,Lactulose,Cream,Drowsiness,Yes
Diabetes,Glibenclamide,Lozenge,None,No
Skin Rash,Betnovate,Tablet,Nausea,Yes
Joint Pain,Celebrex,Tablet,Nausea,No
Acidity,Gaviscon,Lozenge,Stomach upset,No
Infection,Augmentin,Syrup,Dizziness,No
Nausea,Domperidone,Cream,Stomach upset,Yes
High Blood Pressure,Amlodipine,Lozenge,Stomach upset,No
Sore Throat,Cepacol,Lozenge,Stomach upset,No
Cold,Sudafed,Syrup,Dizziness,Yes
Fever,Calpol,Lozenge,Nausea,Yes
Allergy,Loratadine,Lozenge,Stomach upset,Yes
Acidity,Risek,Capsule,Minor irritation,Yes
Cough,Tixylix,Syrup,None,No
Sore Throat,Strepsils,Capsule,Metallic taste,No
Skin Rash,Betnovate,Injection,Minor irritation,No
Nausea,Domperidone,Injection,Metallic taste,Yes
Fever,Calpol,Lozenge,Dizziness,Yes
Infection,Amoxicillin,Lozenge,Dizziness,Yes
Diarrhea,Flagyl,Tablet,Nausea,No
Asthma,Seretide,Injection,Drowsiness,No
Cold,Dispirin,Tablet,Stomach upset,Yes
Back Pain,Orudis,Tablet,Dizziness,No
Pain,Ketorolac,Capsule,Dizziness,Yes
Acidity,Omeprazole,Capsule,Nausea,No
Sore Throat,Cepacol,Syrup,Nausea,No
Diarrhea,Flagyl,Lozenge,Dizziness,No
Joint Pain,Voltral,Tablet,Drowsiness,No
Infection,Augmentin,Lozenge,Minor irritation,No
Cough,Corex,Syrup,Minor irritation,No
Headache,Panadol Extra,Syrup,Nausea,No
Fever,Disprol,Capsule,Metallic taste,No
Back Pain,Ibuprofen,Lozenge,None,Yes
Skin Rash,Betnovate,Injection,Dizziness,Yes
Joint Pain,Voltral,Syrup,Stomach upset,No
Back Pain,Ibuprofen,Lozenge,Dizziness,No
Allergy,Benadryl,Lozenge,Dizziness,No
Infection,Amoxicillin,Lozenge,Nausea,Yes
Acidity,Risek,Injection,Drowsiness,Yes
Acidity,Omeprazole,Syrup,Drowsiness,Yes
Fever,Disprol,Injection,Metallic taste,Yes
Constipation,Cremaffin,Cream,Stomach upset,No
Fever,Disprol,Lozenge,None,No
Pain,Ponstan,Syrup,Stomach upset,No
Cough,Corex,Cream,None,Yes
Diarrhea,Imodium,Syrup,Minor irritation,No
Flu,Flutab,Tablet,Dizziness,Yes
Flu,Flutab,Tablet,Nausea,No
High Blood Pressure,Losartan,Cream,Drowsiness,Yes
Nausea,Emetrol,Lozenge,None,Yes
Nausea,Emetrol,Injection,None,No
Nausea,Domperidone,Capsule,Metallic taste,Yes
Infection,Ciprofloxacin,Cream,Nausea,Yes
Acidity,Gaviscon,Injection,None,Yes
Diarrhea,Flagyl,Lozenge,Drowsiness,No
Cold,NeoCitran,Injection,Metallic taste,No
Constipation,Duphalac,Cream,None,No
Cough,Tixylix,Injection,Metallic taste,No
Headache,Saridon,Injection,Drowsiness,Yes
Fever,Disprol,Syrup,Nausea,Yes
Pain,Ketorolac,Cream,Dizziness,Yes
Skin Rash,Fucidin,Syrup,Dizziness,Yes
Allergy,Cetrizine,Tablet,None,Yes
Infection,Amoxicillin,Cream,Drowsiness,Yes
Skin Rash,Hydrocortisone,Tablet,None,No
Diabetes,Glibenclamide,Tablet,Stomach upset,No
Flu,Contac,Tablet,Stomach upset,Yes
Back Pain,Ibuprofen,Injection,Minor irritation,No
Nausea,Emetrol,Tablet,Drowsiness,Yes
Pain,Brufen,Lozenge,Dizziness,No
Joint Pain,Celebrex,Tablet,Nausea,Yes
Headache,Saridon,Syrup,Minor irritation,No
Diarrhea,Imodium,Capsule,Nausea,No
Joint Pain,Arcoxia,Capsule,Metallic taste,Yes
Vomiting,Domperidone,Injection,Minor irritation,Yes
Diabetes,Insulin,Injection,Stomach upset,No
Cold,NeoCitran,Capsule,Drowsiness,Yes
Vomiting,Stemetil,Capsule,Stomach upset,Yes
